disease,Patients,Positive_Outcomes,High_Risk,Medium_Risk,Low_Risk,Avg_Age,Avg_BP,Avg_Cholesterol,Positive_Rate
Hemophilia,2,2,2,0,0,50.0,1.0,1.0,1.0
Hemorrhoids,1,1,0,1,0,55.0,2.0,2.0,1.0
Hepatitis,3,0,0,3,0,40.0,2.0,1.6666666666666667,0.0
Hepatitis B,2,2,0,2,0,60.0,1.0,0.0,1.0
Hyperglycemia,1,0,0,1,0,45.0,1.0,1.0,0.0
Hypertension,10,5,0,10,0,52.0,1.4,1.0,0.5
Hypertensive Heart Disease,1,1,0,1,0,30.0,2.0,2.0,1.0
Hyperthyroidism,7,3,0,7,0,37.285714285714285,1.4285714285714286,1.4285714285714286,0.4286
Hypoglycemia,1,1,0,1,0,40.0,2.0,2.0,1.0
Hypothyroidism,7,4,0,7,0,47.142857142857146,1.5714285714285714,2.0,0.5714
Influenza,8,6,0,0,8,33.125,1.125,1.25,0.75
Kidney Cancer,6,2,6,0,0,43.666666666666664,1.1666666666666667,1.1666666666666667,0.3333
Kidney Disease,5,2,5,0,0,47.0,1.2,1.2,0.4
Klinefelter Syndrome,2,2,0,2,0,44.5,1.0,1.0,1.0
Liver Cancer,6,4,6,0,0,43.166666666666664,1.6666666666666667,1.3333333333333333,0.6667
Liver Disease,5,2,5,0,0,43.0,1.2,1.2,0.4
Lung Cancer,3,2,3,0,0,57.333333333333336,1.3333333333333333,1.3333333333333333,0.6667
Lyme Disease,2,2,0,2,0,50.0,1.0,2.0,1.0
Lymphoma,1,1,1,0,0,40.0,1.0,2.0,1.0
Malaria,2,2,0,2,0,35.0,2.0,2.0,1.0
Marfan Syndrome,1,0,0,1,0,55.0,2.0,2.0,0.0
Measles,2,0,0,0,2,60.0,2.0,1.0,0.0
Melanoma,1,0,1,0,0,45.0,2.0,1.0,0.0
Migraine,10,5,0,10,0,41.1,1.3,1.3,0.5
Multiple Sclerosis,5,3,0,5,0,44.8,1.6,1.6,0.6
Mumps,2,2,0,0,2,65.0,1.0,2.0,1.0
Muscular Dystrophy,1,0,0,1,0,30.0,2.0,2.0,0.0
Myocardial Infarction (Heart...,1,1,0,1,0,30.0,2.0,2.0,1.0
Obsessive-Compulsive Disorde...,1,0,0,1,0,35.0,1.0,1.0,0.0
Osteoarthritis,6,3,0,6,0,46.666666666666664,1.6666666666666667,1.1666666666666667,0.5
Osteomyelitis,1,0,0,1,0,60.0,1.0,1.0,0.0
Osteoporosis,14,7,0,14,0,54.57142857142857,1.4285714285714286,1.3571428571428572,0.5
Otitis Media (Ear Infection),1,0,0,0,1,65.0,1.0,1.0,0.0
Ovarian Cancer,1,0,1,0,0,45.0,1.0,1.0,0.0
Pancreatic Cancer,1,1,1,0,0,50.0,2.0,2.0,1.0
Pancreatitis,5,2,5,0,0,43.8,1.2,1.2,0.4
Parkinson's Disease,5,2,5,0,0,60.0,1.4,0.6,0.4
Pneumocystis Pneumonia (PCP),1,1,1,0,0,45.0,2.0,2.0,1.0
Pneumonia,8,5,0,0,8,40.625,1.375,1.375,0.625
Pneumothorax,1,1,0,1,0,50.0,2.0,2.0,1.0
Polio,1,0,0,1,0,60.0,1.0,1.0,0.0
Polycystic Ovary Syndrome (PCOS),1,1,0,1,0,55.0,1.0,1.0,1.0
Prader-Willi Syndrome,1,1,0,1,0,60.0,1.0,1.0,1.0
Prostate Cancer,1,0,1,0,0,70.0,2.0,1.0,0.0
Psoriasis,5,3,0,5,0,38.0,1.4,0.8,0.6
Rabies,2,0,2,0,0,40.0,2.0,1.0,0.0
Rheumatoid Arthritis,6,3,0,6,0,42.333333333333336,1.1666666666666667,1.0,0.5
Rubella,2,0,0,0,2,35.0,2.0,1.0,0.0
Schizophrenia,1,0,0,1,0,70.0,1.0,1.0,0.0
Scoliosis,1,1,0,1,0,45.0,2.0,2.0,1.0
Sepsis,1,0,1,0,0,50.0,1.0,1.0,0.0
Sickle Cell Anemia,1,1,1,0,0,45.0,1.0,1.0,1.0
Sinusitis,1,0,0,0,1,30.0,1.0,1.0,0.0
Sleep Apnea,1,0,0,1,0,50.0,2.0,2.0,0.0
Spina Bifida,1,1,1,0,0,35.0,1.0,1.0,1.0
Stroke,16,11,16,0,0,65.5625,1.6875,1.4375,0.6875
Systemic Lupus Erythematosus...,1,1,0,1,0,55.0,2.0,2.0,1.0
Testicular Cancer,1,1,0,1,0,70.0,2.0,2.0,1.0
Tetanus,2,2,0,2,0,45.0,1.0,2.0,1.0
Thyroid Cancer,1,1,1,0,0,60.0,2.0,2.0,1.0
Tonsillitis,1,1,0,0,1,70.0,2.0,2.0,1.0
Tourette Syndrome,1,0,0,1,0,65.0,2.0,2.0,0.0
Tuberculosis,3,3,0,3,0,46.666666666666664,2.0,2.0,1.0
Turner Syndrome,2,0,0,2,0,45.0,2.0,2.0,0.0
Typhoid Fever,2,2,0,2,0,55.0,1.0,0.0,1.0
Ulcerative Colitis,5,3,0,5,0,36.0,1.4,1.6,0.6
Urinary Tract Infection,5,2,0,0,5,40.2,1.2,1.2,0.4
Urinary Tract Infection (UTI),3,1,0,3,0,43.333333333333336,1.6666666666666667,1.3333333333333333,0.3333
Williams Syndrome,1,1,0,1,0,70.0,1.0,1.0,1.0
Zika Virus,2,0,0,0,2,45.0,2.0,2.0,0.0
